"Date","Time","Battery(%)","Note"
"19/11/2019","13:34:41","86","level changed, screen on, charge off"
"19/11/2019","13:34:41","86","monitor enabled, screen on, charge off"
"19/11/2019","13:34:41","86","level changed, screen on, charge off"
"19/11/2019","13:36:28","86","screen off, charge off"
"19/11/2019","13:37:12","86","screen on, charge off"
"19/11/2019","13:37:47","86","screen off, charge off"
"19/11/2019","13:40:43","86","level changed, screen on, charge off"
"19/11/2019","13:41:40","86","screen off, charge off"
"19/11/2019","14:11:49","86","screen on, charge off"
"19/11/2019","14:12:25","86","screen off, charge off"
"19/11/2019","14:16:26","85","level changed, screen off, charge off"
"19/11/2019","14:25:20","85","screen on, charge off"
"19/11/2019","14:25:31","85","screen off, charge off"
"19/11/2019","15:08:59","85","screen on, charge off"
"19/11/2019","15:09:13","85","screen off, charge off"
"19/11/2019","15:47:22","85","screen on, charge off"
"19/11/2019","15:47:34","85","screen off, charge off"
"19/11/2019","15:55:28","85","screen on, charge off"
"19/11/2019","15:57:28","84","level changed, screen on, charge off"
"19/11/2019","15:59:27","84","screen off, charge off"
"19/11/2019","16:00:36","84","screen on, charge off"
"19/11/2019","16:00:42","84","shutdown, screen on, charge off"
"19/11/2019","18:38:23","83","monitor enabled, screen off, charge off"
"19/11/2019","18:38:24","83","reboot, screen off, charge off"
"19/11/2019","18:38:24","83","level changed, screen off, charge off"
"19/11/2019","18:38:36","83","screen on, charge off"
"19/11/2019","18:39:09","82","level changed, screen on, charge off"
"19/11/2019","18:39:48","82","screen off, charge off"
"19/11/2019","18:40:39","82","screen on, charge off"
"19/11/2019","18:40:41","82","screen off, charge off"
"19/11/2019","18:45:21","81","level changed, screen off, charge off"
"19/11/2019","18:54:24","81","screen on, charge off"
"19/11/2019","18:54:34","81","screen off, charge off"
"19/11/2019","18:54:50","81","screen on, charge off"
"19/11/2019","18:55:39","81","screen off, charge off"
"19/11/2019","18:56:56","81","screen on, charge off"
"19/11/2019","18:56:59","81","screen off, charge off"
"19/11/2019","18:57:54","80","level changed, screen off, charge off"
"19/11/2019","19:06:58","80","screen on, charge off"
"19/11/2019","19:07:21","80","screen off, charge off"
"19/11/2019","19:20:20","80","screen on, charge off"
"19/11/2019","19:20:38","80","screen off, charge off"
"19/11/2019","19:20:44","80","screen on, charge off"
"19/11/2019","19:21:44","79","level changed, screen on, charge off"
"19/11/2019","19:22:16","79","screen off, charge off"
"19/11/2019","19:47:27","79","screen on, charge off"
"19/11/2019","19:47:41","79","screen off, charge off"
"19/11/2019","19:48:16","79","screen on, charge off"
"19/11/2019","19:48:26","79","screen off, charge off"
"19/11/2019","19:48:53","79","screen on, charge off"
"19/11/2019","19:49:19","79","screen off, charge off"
"19/11/2019","19:49:20","79","screen on, charge off"
"19/11/2019","19:49:33","79","screen off, charge off"
"19/11/2019","19:51:33","79","screen on, charge off"
"19/11/2019","19:52:07","79","screen off, charge off"
"19/11/2019","19:52:18","79","screen on, charge off"
"19/11/2019","19:52:39","79","screen off, charge off"
"19/11/2019","19:52:40","78","level changed, screen off, charge off"
"19/11/2019","19:55:36","78","screen on, charge off"
"19/11/2019","19:56:46","78","screen off, charge off"
"19/11/2019","20:07:06","78","screen on, charge off"
"19/11/2019","20:08:20","78","screen off, charge off"
"19/11/2019","20:08:59","78","screen on, charge off"
"19/11/2019","20:09:10","78","screen off, charge off"
"19/11/2019","20:10:45","78","screen on, charge off"
"19/11/2019","20:12:26","78","screen off, charge off"
"19/11/2019","20:12:41","77","level changed, screen off, charge off"
"19/11/2019","20:24:03","77","screen on, charge off"
"19/11/2019","20:24:33","77","screen off, charge off"
"19/11/2019","20:24:57","77","screen on, charge off"
"19/11/2019","20:25:06","77","screen off, charge off"
"19/11/2019","20:25:30","77","screen on, charge off"
"19/11/2019","20:26:24","77","screen off, charge off"
"19/11/2019","20:33:22","77","screen on, charge off"
"19/11/2019","20:33:25","77","screen off, charge off"
"19/11/2019","20:40:51","77","screen on, charge off"
"19/11/2019","20:41:03","77","screen off, charge off"
"19/11/2019","20:45:07","77","screen on, charge off"
"19/11/2019","20:45:18","77","screen off, charge off"
"19/11/2019","20:51:31","77","screen on, charge off"
"19/11/2019","20:51:45","77","screen off, charge off"
"19/11/2019","20:52:31","77","screen on, charge off"
"19/11/2019","20:52:43","77","screen off, charge off"
"19/11/2019","20:53:13","77","screen on, charge off"
"19/11/2019","20:54:41","77","screen off, charge off"
"19/11/2019","20:54:47","76","level changed, screen off, charge off"
"19/11/2019","20:56:37","76","screen on, charge off"
"19/11/2019","20:57:05","76","screen off, charge off"
"19/11/2019","20:57:10","76","screen on, charge off"
"19/11/2019","20:57:22","76","screen off, charge off"
"19/11/2019","20:57:23","76","screen on, charge off"
"19/11/2019","20:57:26","76","screen off, charge off"
"19/11/2019","20:57:33","76","screen on, charge off"
"19/11/2019","20:57:38","76","screen off, charge off"
"19/11/2019","20:58:44","76","screen on, charge off"
"19/11/2019","21:00:41","75","level changed, screen on, charge off"
"19/11/2019","21:05:03","75","screen off, charge off"
