,Lat,Long,Time
0,45.766605,4.8168525,1574920219.177
1,45.7665962,4.8168547,1574920330.794
2,45.7665962,4.8168547,1574920350.763
3,45.7666062,4.8168565,1574920470.955
4,45.7665961,4.8168548,1574920591.409
5,45.7665962,4.8168547,1574920703.457
6,45.7665961,4.8168547,1574920723.732
7,45.7665961,4.8168547,1574920843.912
8,45.7665962,4.8168548,1574920969.505
9,45.7665959,4.8168548,1574921107.5
10,45.766596,4.8168548,1574921228.238
11,45.766605,4.8168525,1574921299.502
12,45.7666238,4.8168478,1574921323.976
13,45.7665919,4.816866,1574921444.399
14,45.76662,4.8168551,1574921564.515
15,45.76662,4.8168551,1574921684.656
16,45.76662,4.8168551,1574921804.686
17,45.76662,4.8168551,1574921862.36
18,45.7666062,4.8168527,1574922242.406
19,45.7666062,4.8168527,1574922468.922
20,45.766596,4.8168548,1574922545.364
21,45.766596,4.8168548,1574922825.429
22,45.7666062,4.8168565,1574922848.473
23,45.7666063,4.8168566,1574923261.493
24,45.7665959,4.8168548,1574923296.497
25,45.7666062,4.8168566,1574923599.192
26,45.7665964,4.8168547,1574924427.128
27,45.7665964,4.8168547,1574924446.491
28,45.766605,4.8168525,1574924728.909
29,45.766605,4.8168525,1574924849.072
30,45.766605,4.8168525,1574924969.102
31,45.766605,4.8168525,1574925089.128
32,45.766605,4.8168525,1574925209.204
33,45.766605,4.8168525,1574925387.064
34,45.7666502,4.8168553,1574925433.554
35,45.7666502,4.8168553,1574925559.255
36,45.7669322,4.8179593,1574925673.063
37,45.7665425,4.8179557,1574925721.294
38,45.7664681,4.8182066,1574925737.0
39,45.7664676,4.8184386,1574925753.0
40,45.7663637,4.8189931,1574925801.483
41,45.7676917,4.8210401,1574925924.645
42,45.7677241,4.8208157,1574926047.334
43,45.7676955,4.820696,1574926131.714
44,45.7681603,4.8220176,1574926153.401
45,45.7677613,4.8283479,1574926299.509
46,45.7668588,4.8302084,1574926420.732
47,45.7673374,4.8331905,1574926489.455
48,45.7651421,4.8366,1574926789.3
49,45.7651421,4.8366,1574926811.234
50,45.7680871,4.8511863,1574926922.877
51,45.7699928,4.862247,1574927102.909
52,45.7704974,4.8643464,1574927123.956
53,45.7708311,4.8631165,1574927247.149
54,45.7710944,4.8631307,1574927368.285
55,45.7710847,4.8631318,1574927489.382
56,45.7746834,4.8640938,1574927606.0
57,45.7742853,4.8640972,1574927622.0
58,45.7742073,4.8640712,1574927637.0
59,45.7741831,4.864866,1574927653.0
60,45.7747782,4.8664574,1574927670.0
61,45.7774639,4.8671866,1574927735.163
62,45.7807707,4.8672989,1574927861.312
63,45.7823584,4.8663823,1574927981.565
64,45.7823956,4.8664787,1574928070.342
65,45.782383,4.8664569,1574928090.402
66,45.7822197,4.8657744,1574928212.53
67,45.7822304,4.8657663,1574928338.548
68,45.7822196,4.8657729,1574928459.955
69,45.7822194,4.8657727,1574928581.274
70,45.7822226,4.8657856,1574928705.345
71,45.7822159,4.8657897,1574928881.745
72,45.7822271,4.8657705,1574930389.339
73,45.7821968,4.8659095,1574931067.753
74,45.7822162,4.8657558,1574932331.011
75,45.7822162,4.865799,1574932364.091
76,45.782261,4.8658392,1574932476.823
77,45.7823825,4.8662015,1574932505.1
78,45.7831981,4.8679734,1574932632.661
79,45.7832882,4.870011,1574932746.022
80,45.7834499,4.8707036,1574932875.436
81,45.7834243,4.8698345,1574932996.546
82,45.7830748,4.8692148,1574933122.139
83,45.7826724,4.8664059,1574933245.109
84,45.7823847,4.8664924,1574933324.803
85,45.7823888,4.8664863,1574933350.118
86,45.7823946,4.8664325,1574933477.47
87,45.7821957,4.8657518,1574933598.365
88,45.782204,4.8657303,1574933627.842
89,45.7822243,4.8657305,1574933649.416
90,45.7821958,4.8657519,1574933774.69
91,45.7822169,4.8657479,1574933901.09
92,45.7822254,4.8657194,1574934147.601
93,45.7822245,4.8657318,1574936017.12
94,45.7822041,4.8657308,1574936743.297
95,45.7822041,4.8657308,1574937920.174
96,45.7822041,4.8657308,1574939229.401
97,45.7822176,4.8657337,1574939381.625
98,45.7822176,4.8657337,1574939405.075
99,45.7822526,4.8658552,1574939528.467
100,45.7824085,4.8665298,1574939632.792
101,45.7825608,4.8662823,1574939683.967
102,45.782328,4.8664855,1574939825.128
103,45.7823539,4.8667687,1574939946.236
104,45.7823531,4.8663853,1574940004.854
105,45.7822162,4.8657551,1574940155.301
106,45.7821991,4.8657437,1574940276.261
107,45.7821992,4.8657434,1574940403.046
108,45.7822067,4.8657331,1574940525.069
109,45.7822249,4.8657167,1574940647.135
110,45.7822145,4.8657249,1574940772.42
111,45.7822038,4.8657302,1574940893.204
112,45.7822211,4.8657478,1574940964.1
113,45.7822246,4.8657302,1574940985.131
114,45.7822245,4.8657296,1574941107.145
115,45.7821932,4.8657364,1574941231.038
116,45.7822148,4.8657266,1574941305.049
117,45.7821911,4.8657136,1574941324.949
118,45.7822145,4.8657247,1574941446.347
119,45.7822145,4.8657247,1574941569.791
120,45.7822145,4.8657247,1574941702.067
121,45.7822145,4.8657247,1574941867.068
122,45.7822223,4.8658116,1574942005.075
123,45.7822223,4.8658116,1574942133.074
124,45.7822223,4.8658116,1574942266.068
125,45.7822223,4.8658116,1574942404.064
126,45.78223,4.8658008,1574942504.183
127,45.7822228,4.8657862,1574942636.213
128,45.7822212,4.8658255,1574942762.264
129,45.7822154,4.8657974,1574942884.955
130,45.7822216,4.8658096,1574943131.128
131,45.7822331,4.8658095,1574943672.936
132,45.7822253,4.8658147,1574943695.346
133,45.7822215,4.8658262,1574943816.535
134,45.7822226,4.8657994,1574943936.752
135,45.782215,4.8658294,1574944059.638
136,45.7822896,4.8660557,1574944180.573
137,45.7823153,4.86637,1574944300.342
138,45.7821253,4.8664274,1574944316.0
139,45.7813543,4.8665886,1574944333.0
140,45.7806215,4.8667576,1574944427.226
141,45.7823852,4.8663016,1574944480.616
142,45.7823853,4.8663015,1574944502.05
143,45.7823928,4.8662902,1574945102.11
144,45.7823856,4.8662993,1574945339.182
145,45.7823419,4.8663328,1574945370.114
146,45.7824894,4.8665178,1574945491.128
147,45.7824781,4.8664226,1574945619.045
148,45.782432,4.86654,1574945672.499
149,45.782412,4.8664584,1574945693.44
150,45.7822919,4.8659765,1574945822.253
151,45.7822261,4.865731,1574945933.203
152,45.7821644,4.8652591,1574946070.436
153,45.7820403,4.8652845,1574946194.428
154,45.782113,4.8652745,1574946322.048
155,45.782063,4.8653158,1574946397.456
156,45.7822129,4.8655366,1574946544.281
157,45.7822675,4.8660188,1574946666.141
158,45.7822827,4.8660327,1574946787.496
159,45.7822867,4.8660205,1574946908.636
160,45.7822708,4.8660111,1574947030.683
161,45.7822676,4.8660192,1574947151.587
162,45.7822711,4.8660129,1574947424.009
163,45.7822713,4.8660136,1574947517.232
164,45.7822715,4.8660153,1574947724.547
165,45.7822711,4.8660129,1574947820.856
166,45.7822684,4.8660211,1574947999.485
167,45.7822595,4.8659873,1574949850.597
168,45.7822772,4.8660288,1574950368.787
169,45.7822681,4.8660231,1574950390.504
170,45.7822676,4.8660188,1574952204.374
171,45.7822677,4.8660038,1574952455.617
172,45.7822831,4.8660321,1574952519.663
173,45.7822831,4.8660321,1574952702.269
174,45.7822713,4.8660135,1574952850.208
175,45.7822792,4.8660119,1574953745.776
176,45.7823677,4.866306,1574953870.303
177,45.7823951,4.866509,1574953991.214
178,45.7824022,4.8665095,1574954112.256
179,45.7823994,4.8665063,1574954172.651
