,Lat,Long,Time
0,45.5618048,6.691609,1451299406.487
1,45.5618048,6.691609,1451299428.248
2,45.553999,6.7288379,1451299445.022
3,45.5541229,6.7287072,1451299461.02
4,45.5541229,6.7287072,1451299477.017
5,45.7670741,4.8360274,1451590795.703
6,45.7670064,4.8359955,1451590810.866
7,45.7668941,4.8359357,1451590825.972
8,45.7638518,4.8362301,1451591068.992
9,45.7646062,4.8343227,1451591202.013
10,45.7648843,4.8343733,1451591233.221
11,45.7665513,4.8342765,1451591334.786
12,45.7669983,4.8341902,1451591376.89
13,45.7673991,4.833754,1451591411.262
14,45.7678396,4.8332936,1451591538.805
15,45.7676125,4.8334178,1451591659.895
16,45.7676194,4.8334363,1451591779.905
17,45.7673291,4.8334892,1451591901.011
18,45.7673419,4.8334659,1451591951.633
19,45.7673185,4.8334852,1451591997.19
20,45.7678312,4.8333532,1451592105.124
21,45.7678379,4.8332774,1451592226.198
22,45.7680862,4.8325139,1451592346.213
23,45.7673271,4.8334979,1451592467.845
24,45.7668208,4.8342533,1451592587.849
25,45.765768,4.834397,1451592708.935
26,45.7658812,4.8343795,1451592828.939
27,45.7658007,4.8343328,1451592875.848
28,45.7658325,4.8343101,1451592935.648
29,45.765808,4.8343534,1451593035.559
30,45.7657854,4.8343938,1451593055.62
31,45.7658216,4.8343931,1451593087.671
32,45.7658794,4.8344493,1451593104.08
33,45.7657779,4.8342506,1451593225.164
34,45.7658626,4.8343393,1451593345.787
35,45.7658689,4.8342752,1451593826.444
36,45.7658303,4.8344041,1451594006.8
37,45.7658189,4.8343936,1451594024.524
38,45.7642552,4.8343956,1452719258.295
39,45.7640877,4.83446,1452719412.596
40,45.7640877,4.83446,1452719465.089
41,45.7641981,4.8343827,1452719505.888
42,45.7642375,4.8343567,1452719564.394
43,45.7648273,4.8347362,1452719618.607
44,45.7642225,4.8344077,1452719751.659
45,45.7610793,4.8346326,1452719871.069
46,45.7643694,4.8344585,1452719993.742
47,45.763348,4.8341839,1452720112.198
48,45.7642231,4.8343457,1452720167.054
49,45.7642424,4.8343989,1452720288.815
50,45.7641449,4.8344113,1452720328.965
51,45.7641818,4.8343413,1452720450.79
52,45.7546204,4.8676815,1452787279.551
53,45.7567445,4.8626273,1452787296.394
54,45.7572359,4.8590458,1452787316.516
55,45.7572101,4.8590268,1452787331.649
56,45.7571676,4.8583495,1452787346.787
57,45.7606224,4.8577332,1452787473.489
58,45.7606206,4.8577205,1452787488.599
59,45.7605955,4.8577192,1452787503.648
