"Date","Time","Battery(%)","Note"
"03/12/2019","14:56:55","77","screen on, charge off"
"03/12/2019","14:57:11","77","screen off, charge off"
"03/12/2019","14:57:13","77","screen on, charge off"
"03/12/2019","14:57:43","77","screen off, charge off"
"03/12/2019","15:03:28","77","screen on, charge off"
"03/12/2019","15:03:41","77","screen off, charge off"
"03/12/2019","15:11:16","77","screen on, charge off"
"03/12/2019","15:11:35","77","screen off, charge off"
"03/12/2019","15:13:32","77","screen on, charge off"
"03/12/2019","15:13:34","77","screen off, charge off"
"03/12/2019","15:13:34","77","screen on, charge off"
"03/12/2019","15:14:43","76","level changed, screen on, charge off"
"03/12/2019","15:18:44","75","level changed, screen on, charge off"
"03/12/2019","15:21:29","75","screen off, charge off"
"03/12/2019","15:21:55","75","screen on, charge off"
"03/12/2019","15:22:54","75","screen off, charge off"
"03/12/2019","15:24:33","75","screen on, charge off"
"03/12/2019","15:24:45","74","level changed, screen on, charge off"
"03/12/2019","15:24:54","74","screen off, charge off"
"03/12/2019","15:27:27","74","screen on, charge off"
"03/12/2019","15:27:50","74","screen off, charge off"
"03/12/2019","15:27:52","74","screen on, charge off"
"03/12/2019","15:29:01","74","screen off, charge off"
"03/12/2019","15:32:14","74","screen on, charge off"
"03/12/2019","15:32:47","73","level changed, screen on, charge off"
"03/12/2019","15:36:48","72","level changed, screen on, charge off"
"03/12/2019","15:41:49","71","level changed, screen on, charge off"
"03/12/2019","15:46:49","70","level changed, screen on, charge off"
"03/12/2019","15:48:15","70","screen off, charge off"
"03/12/2019","15:48:31","70","screen on, charge off"
"03/12/2019","15:49:55","70","screen off, charge off"
"03/12/2019","15:51:04","69","level changed, screen off, charge off"
"03/12/2019","15:51:23","69","screen on, charge off"
"03/12/2019","15:51:33","69","screen off, charge off"
"03/12/2019","15:54:17","69","screen on, charge off"
"03/12/2019","15:55:17","69","screen off, charge off"
"03/12/2019","15:55:58","69","screen on, charge off"
"03/12/2019","15:56:10","69","screen off, charge off"
"03/12/2019","15:57:27","69","screen on, charge off"
"03/12/2019","15:57:38","69","screen off, charge off"
