"Date","Check phone count","Screen on time"
"11/21/19","28","2:49:08"
"11/20/19","67","5:29:27"
"11/19/19","116","5:55:07"
"11/18/19","74","4:57:09"
"11/17/19","72","5:59:40"
"11/16/19","83","3:56:11"
"11/15/19","99","3:22:41"
"11/14/19","77","4:23:11"
"11/13/19","110","3:47:36"
"11/12/19","113","3:38:51"
"11/11/19","41","3:13:18"
"11/10/19","46","6:13:51"
"11/9/19","14","1:01:43"
