"Date","Time","Battery(%)","Note"
"11/18/19","17:45:02","52","level changed, screen on, charge off"
"11/18/19","17:45:02","52","monitor enabled, screen on, charge off"
"11/18/19","17:45:02","52","level changed, screen on, charge off"
"11/18/19","17:49:52","51","level changed, screen on, charge off"
"11/18/19","17:55:45","50","level changed, screen on, charge off"
"11/18/19","17:56:04","50","level changed, screen off, charge off"
"11/18/19","17:56:32","50","level changed, screen on, charge off"
"11/18/19","17:59:01","50","level changed, screen off, charge off"
"11/18/19","18:01:28","50","level changed, screen on, charge off"
"11/18/19","18:01:45","50","level changed, screen off, charge off"
"11/18/19","18:01:54","50","level changed, screen on, charge off"
"11/18/19","18:02:02","50","level changed, screen off, charge off"
"11/18/19","18:05:10","49","level changed, screen off, charge off"
"11/18/19","18:08:57","49","level changed, screen on, charge off"
"11/18/19","18:09:14","49","level changed, screen off, charge off"
"11/18/19","18:17:48","49","level changed, screen on, charge off"
"11/18/19","18:17:58","49","level changed, screen off, charge off"
"11/18/19","18:21:20","49","level changed, screen on, charge off"
"11/18/19","18:21:24","49","level changed, screen off, charge off"
"11/18/19","18:45:00","49","level changed, screen on, charge off"
"11/18/19","18:45:12","49","level changed, screen off, charge off"
"11/18/19","18:45:39","49","level changed, screen on, charge off"
"11/18/19","18:45:51","49","level changed, screen off, charge off"
"11/18/19","18:46:40","48","level changed, screen off, charge off"
"11/18/19","18:47:35","48","level changed, screen on, charge off"
"11/18/19","18:47:45","48","level changed, screen off, charge off"
"11/18/19","18:50:10","48","level changed, screen on, charge off"
"11/18/19","18:50:55","47","level changed, screen on, charge off"
"11/18/19","18:51:14","47","level changed, screen off, charge off"
"11/18/19","18:51:26","47","level changed, screen on, charge off"
"11/18/19","18:53:26","47","level changed, screen off, charge off"
"11/18/19","19:00:46","47","level changed, screen on, charge off"
"11/18/19","19:00:49","47","level changed, screen off, charge off"
"11/18/19","19:03:30","47","level changed, screen on, charge off"
"11/18/19","19:04:44","46","level changed, screen on, charge off"
"11/18/19","19:08:47","45","level changed, screen on, charge off"
"11/18/19","19:12:11","45","level changed, screen off, charge off"
"11/18/19","19:12:14","44","level changed, screen off, charge off"
"11/18/19","20:01:59","43","level changed, screen off, charge off"
"11/18/19","20:08:21","43","level changed, screen on, charge off"
"11/18/19","20:08:31","43","level changed, screen off, charge off"
"11/18/19","20:18:19","43","level changed, screen on, charge off, device idle on"
"11/18/19","20:18:34","43","level changed, screen off, charge off"
"11/18/19","20:43:14","43","level changed, screen on, charge off"
"11/18/19","20:43:21","43","level changed, screen off, charge off"
"11/18/19","20:45:54","42","level changed, screen off, charge off"
"11/18/19","21:04:53","42","level changed, screen on, charge off"
