"Date","Time","Battery(%)","Note"
"11/30/19","01:27:52","69","level changed, screen off, charge off"
"11/30/19","01:28:31","69","level changed, screen on, charge off"
"11/30/19","01:29:32","68","level changed, screen on, charge off"
"11/30/19","01:33:35","67","level changed, screen on, charge off"
"11/30/19","01:35:41","67","level changed, screen off, charge off"
"11/30/19","01:35:58","67","level changed, screen on, charge off"
"11/30/19","01:39:36","66","level changed, screen on, charge off"
"11/30/19","01:40:50","66","level changed, screen off, charge off"
"11/30/19","01:44:12","66","level changed, screen on, charge off"
"11/30/19","01:44:14","66","screen off, charge off"
"11/30/19","01:44:23","66","level changed, screen on, charge off"
"11/30/19","01:46:01","66","level changed, screen off, charge off"
"11/30/19","01:46:07","66","level changed, screen on, charge off"
"11/30/19","01:46:14","66","level changed, screen off, charge off"
"11/30/19","01:46:40","66","level changed, screen on, charge off"
"11/30/19","01:47:41","65","level changed, screen on, charge off"
"11/30/19","01:48:59","65","level changed, screen off, charge off"
"11/30/19","01:51:21","65","level changed, screen on, charge off"
"11/30/19","01:56:52","64","level changed, screen on, charge off"
"11/30/19","01:59:10","64","level changed, screen off, charge off"
"11/30/19","02:06:43","64","level changed, screen on, charge off"
"11/30/19","02:06:51","64","level changed, screen off, charge off"
"11/30/19","02:13:42","64","level changed, screen on, charge off"
"11/30/19","02:13:44","64","screen off, charge off"
"11/30/19","02:23:47","64","level changed, screen on, charge off"
"11/30/19","02:23:56","64","level changed, screen off, charge off"
"11/30/19","02:26:55","64","level changed, screen on, charge off"
"11/30/19","02:27:02","63","level changed, screen on, charge off"
"11/30/19","02:31:42","62","level changed, screen on, charge off"
"11/30/19","02:37:07","62","level changed, screen off, charge off"
"11/30/19","02:38:22","62","level changed, screen on, charge off"
"11/30/19","02:39:25","61","level changed, screen on, charge off"
"11/30/19","02:39:28","61","level changed, screen on, charge on"
"11/30/19","02:39:49","62","level changed, screen on, charge on"
"11/30/19","02:40:19","63","level changed, screen on, charge on"
"11/30/19","02:40:55","64","level changed, screen on, charge on"
"11/30/19","02:41:37","65","level changed, screen on, charge on"
"11/30/19","02:42:13","66","level changed, screen on, charge on"
"11/30/19","02:42:55","67","level changed, screen on, charge on"
"11/30/19","02:43:49","68","level changed, screen on, charge on"
"11/30/19","02:44:48","69","level changed, screen on, charge on"
"11/30/19","02:45:54","70","level changed, screen on, charge on"
"11/30/19","02:46:54","71","level changed, screen on, charge on"
"11/30/19","02:47:54","72","level changed, screen on, charge on"
"11/30/19","02:48:54","73","level changed, screen on, charge on"
"11/30/19","02:49:54","74","level changed, screen on, charge on"
"11/30/19","02:51:00","75","level changed, screen on, charge on"
"11/30/19","02:52:00","76","level changed, screen on, charge on"
"11/30/19","02:53:00","77","level changed, screen on, charge on"
"11/30/19","02:54:00","78","level changed, screen on, charge on"
"11/30/19","02:55:00","79","level changed, screen on, charge on"
"11/30/19","02:56:00","80","level changed, screen on, charge on"
"11/30/19","02:56:53","81","level changed, screen on, charge on"
"11/30/19","02:57:53","82","level changed, screen on, charge on"
"11/30/19","02:59:15","83","level changed, screen on, charge on"
"11/30/19","03:00:37","84","level changed, screen on, charge on"
"11/30/19","03:02:07","85","level changed, screen on, charge on"
"11/30/19","03:03:36","86","level changed, screen on, charge on"
"11/30/19","03:05:12","87","level changed, screen on, charge on"
"11/30/19","03:06:55","88","level changed, screen on, charge on"
"11/30/19","03:08:51","89","level changed, screen on, charge on"
"11/30/19","03:10:48","90","level changed, screen on, charge on"
"11/30/19","03:12:58","91","level changed, screen on, charge on"
"11/30/19","03:13:11","91","level changed, screen off, charge on"
"11/30/19","03:15:15","92","level changed, screen off, charge on"
"11/30/19","03:17:53","93","level changed, screen off, charge on"
"11/30/19","03:20:44","94","level changed, screen off, charge on"
"11/30/19","03:23:56","95","level changed, screen off, charge on"
"11/30/19","03:27:36","96","level changed, screen off, charge on"
"11/30/19","03:31:49","97","level changed, screen off, charge on"
"11/30/19","03:36:10","98","level changed, screen off, charge on"
"11/30/19","03:40:58","99","level changed, screen off, charge on"
"11/30/19","03:43:49","100","level changed, screen off, charge on"
"11/30/19","07:51:33","100","level changed, screen on, charge off"
"11/30/19","07:52:05","100","level changed, screen off, charge off"
"11/30/19","07:52:11","100","level changed, screen on, charge off"
"11/30/19","07:52:19","100","level changed, screen off, charge off"
"11/30/19","07:52:32","100","level changed, screen on, charge off"
"11/30/19","07:52:54","100","level changed, screen off, charge off"
"11/30/19","07:53:01","100","level changed, screen on, charge off"
"11/30/19","07:54:00","100","level changed, screen off, charge off"
"11/30/19","07:54:29","100","level changed, screen on, charge off"
"11/30/19","07:56:43","99","level changed, screen on, charge off"
"11/30/19","07:59:21","98","level changed, screen on, charge off"
"11/30/19","08:03:23","98","level changed, screen off, charge off"
"11/30/19","08:17:22","97","level changed, screen off, charge off"
"11/30/19","09:53:41","96","level changed, screen off, charge off"
"11/30/19","10:02:43","96","level changed, screen on, charge off"
"11/30/19","10:06:28","95","level changed, screen on, charge off"
"11/30/19","10:12:45","94","level changed, screen on, charge off"
"11/30/19","10:18:01","93","level changed, screen on, charge off"
"11/30/19","10:21:07","93","level changed, screen off, charge off"
"11/30/19","10:40:18","93","level changed, screen on, charge off"
"11/30/19","10:41:22","92","level changed, screen on, charge off"
"11/30/19","10:42:36","92","level changed, screen off, charge off"
"11/30/19","10:48:32","92","level changed, screen on, charge off"
"11/30/19","10:48:35","92","level changed, screen off, charge off"
"11/30/19","10:55:31","92","level changed, screen on, charge off"
"11/30/19","10:55:39","92","level changed, screen off, charge off"
"11/30/19","10:55:46","92","level changed, screen on, charge off"
"11/30/19","10:58:22","91","level changed, screen on, charge off"
"11/30/19","11:03:51","90","level changed, screen on, charge off"
"11/30/19","11:08:55","89","level changed, screen on, charge off"
"11/30/19","11:09:25","89","level changed, screen off, charge off"
"11/30/19","11:15:58","89","level changed, screen on, charge off"
"11/30/19","11:16:06","89","level changed, screen off, charge off"
"11/30/19","11:17:04","89","level changed, screen on, charge off"
"11/30/19","11:17:04","89","level changed, screen off, charge off"
"11/30/19","11:22:35","89","level changed, screen on, charge off"
"11/30/19","11:22:45","89","level changed, screen off, charge off"
"11/30/19","11:26:53","89","level changed, screen on, charge off"
"11/30/19","11:26:55","89","level changed, screen off, charge off"
"11/30/19","11:36:32","89","level changed, screen on, charge off"
"11/30/19","11:36:34","89","screen off, charge off"
"11/30/19","11:37:34","89","level changed, screen on, charge off"
"11/30/19","11:37:34","89","level changed, screen off, charge off"
"11/30/19","11:43:46","89","level changed, screen on, charge off"
"11/30/19","11:44:04","89","level changed, screen off, charge off"
"11/30/19","11:44:31","89","level changed, screen on, charge off"
"11/30/19","11:44:36","89","level changed, screen off, charge off"
"11/30/19","11:45:05","89","level changed, screen on, charge off"
"11/30/19","11:45:06","89","level changed, screen off, charge off"
"11/30/19","11:45:07","89","level changed, screen on, charge off"
"11/30/19","11:45:09","89","screen off, charge off"
"11/30/19","11:52:50","89","level changed, screen on, charge off"
"11/30/19","11:53:52","88","level changed, screen on, charge off"
"11/30/19","11:56:22","88","level changed, screen off, charge off"
"11/30/19","12:01:10","88","level changed, screen on, charge off"
"11/30/19","12:01:27","88","level changed, screen off, charge off"
"11/30/19","12:02:27","88","level changed, screen on, charge off"
"11/30/19","12:02:28","88","level changed, screen off, charge off"
"11/30/19","12:02:47","88","level changed, screen on, charge off"
"11/30/19","12:05:27","88","level changed, screen off, charge off"
"11/30/19","12:05:35","88","level changed, screen on, charge off"
"11/30/19","12:06:04","87","level changed, screen on, charge off"
"11/30/19","12:06:49","87","level changed, screen off, charge off"
"11/30/19","12:07:36","87","level changed, screen on, charge off"
"11/30/19","12:09:07","87","level changed, screen off, charge off"
"11/30/19","12:10:51","87","level changed, screen on, charge off"
"11/30/19","12:11:08","87","level changed, screen off, charge off"
"11/30/19","12:11:20","87","level changed, screen on, charge off"
"11/30/19","12:12:24","86","level changed, screen on, charge off"
