"App name","Usage time","Access count"
"YouTube","65:21:16","1782"
"Boost","22:27:56","973"
"Chrome","10:23:33","1008"
"Discord","4:10:06","655"
"Slack","3:43:34","505"
"Instagram","2:28:21","209"
"WEBTOON","2:26:13","45"
"I Can't Wake Up! Alarm Clock","2:08:28","174"
"Maps","2:05:43","124"
"Compteur","1:03:15","6"
"Messenger","0:51:29","199"
"Vélo'v officiel","0:49:39","111"
"Horloge","0:41:54","130"
"Facebook","0:40:46","49"
"Gmail","0:40:33","227"
"Notes Keep","0:39:41","61"
"lichess","0:35:49","28"
"Uber Eats","0:31:03","24"
"Téléphone","0:29:29","137"
"Quora","0:29:21","40"
"SMS/MMS","0:29:10","100"
"App Usage","0:28:31","37"
"Google Actualités","0:28:27","83"
"Boutique Amazon","0:22:32","60"
"Izly","0:19:23","47"
"Drive","0:18:21","35"
"Dealabs","0:18:02","37"
"Snapchat","0:17:02","47"
"Bankin'","0:14:18","37"
"Google Play Store","0:10:17","22"
"Google Opinion Rewards","0:07:47","10"
"Notes","0:05:44","24"
"Shazam","0:04:42","22"
"Calculatrice","0:04:10","12"
"Gestionnaire de fichiers","0:03:54","17"
"TooGoodToGo","0:03:34","4"
"Météo","0:02:59","4"
"Caméra","0:02:52","21"
"Yuka","0:02:47","2"
"Quiz sans fin","0:02:43","2"
"WhatsApp","0:02:43","18"
"3G Watchdog","0:02:41","7"
"Photos","0:02:36","24"
"Citymapper","0:02:28","6"
"Google","0:01:24","9"
"Gboard","0:01:21","10"
"Slides","0:01:20","1"
"PayPal","0:01:19","5"
"Google Authenticator","0:01:16","6"
"L'interface","0:01:04","43"
"LinkedIn","0:01:01","3"
"BlackPlayer","0:00:58","11"
"Galerie","0:00:44","4"
"Settings Suggestions","0:00:41","6"
"Twitch","0:00:38","1"
"CIC","0:00:33","4"
"Programme d'installation du kit","0:00:28","25"
"9GAG","0:00:26","1"
"CF.lumen","0:00:20","10"
"Spouler impress.","0:00:12","3"
"Contacts","0:00:09","2"
"Fichiers","0:00:04","2"
"Bitwarden","0:00:02","2"
"Quick Brain","0:00:02","2"
"Services téléphoniques","0:00:01","1"
"Strava","0:00:01","2"
"Infos pratiques","0:00:01","1"
"Kana Town","0:00:01","1"
"Speedtest","0:00:00","1"
""
"Date","Usage time"
"12/5/19","0:36:00"
"12/4/19","6:02:04"
"12/3/19","5:44:35"
"12/2/19","5:50:38"
"12/1/19","4:32:32"
"11/30/19","5:27:51"
"11/29/19","6:09:14"
"11/28/19","5:55:24"
"11/27/19","5:39:29"
"11/26/19","4:58:19"
"11/25/19","4:51:13"
"11/24/19","5:47:11"
"11/23/19","7:02:37"
"11/22/19","4:30:47"
"11/21/19","3:53:41"
"11/20/19","4:49:27"
"11/19/19","6:02:38"
"11/18/19","3:53:14"
"11/17/19","3:29:32"
"11/16/19","4:53:42"
"11/15/19","4:45:02"
"11/14/19","4:12:59"
"11/13/19","5:50:31"
"11/12/19","5:51:23"
"11/11/19","3:45:41"
"11/10/19","2:21:32"
"11/9/19","0:22:45"
""
"Usage history, December 5, 2019 - November 9, 2019"
"Created by App Usage on Thursday, December 5, 2019, 00:45"
