"App name","Date","Time","Duration"
"I Can't Wake Up! Alarm Clock","12/4/19","23:35:12","0:00:02"
"YouTube","12/4/19","23:35:04","0:00:07"
"WhatsApp","12/4/19","23:34:56","0:00:07"
"Drive","12/4/19","23:34:55","0:00:01"
"WhatsApp","12/4/19","23:34:52","0:00:03"
"SMS/MMS","12/4/19","23:34:49","0:00:03"
"WhatsApp","12/4/19","23:34:47","0:00:01"
"Screen on (unlocked)","12/4/19","23:34:46","0:00:01"
"Screen off","12/4/19","23:34:40","0:00:06"
"WhatsApp","12/4/19","23:34:39","0:00:01"
"Discord","12/4/19","23:34:35","0:00:04"
"WhatsApp","12/4/19","23:34:32","0:00:03"
"Chrome","12/4/19","23:34:30","0:00:02"
"Notification posted (Système Android)","12/4/19","23:34:29","0:00:00"
"Screen on (unlocked)","12/4/19","23:34:29","0:00:00"
"Notification posted (Système Android)","12/4/19","23:34:29","0:00:00"
"Screen on (locked)","12/4/19","23:34:28","0:00:01"
"Screen off","12/4/19","23:27:23","0:07:05"
"Chrome","12/4/19","23:26:55","0:00:28"
"Discord","12/4/19","23:26:44","0:00:12"
"Instagram","12/4/19","23:26:42","0:00:02"
"Screen on (unlocked)","12/4/19","23:26:41","0:00:01"
"Notification posted (Système Android)","12/4/19","23:26:41","0:00:00"
"Screen off","12/4/19","23:26:41","0:00:00"
"Notification posted (Système Android)","12/4/19","23:26:41","0:00:00"
"Notification posted (WhatsApp)","12/4/19","23:25:41","0:00:00"
"Notification posted (Discord)","12/4/19","23:22:28","0:00:00"
"Notification posted (Discord)","12/4/19","23:22:25","0:00:00"
"Screen off (locked)","12/4/19","23:02:04","0:24:36"
"Screen on (locked)","12/4/19","23:01:54","0:00:10"
"Screen off","12/4/19","22:46:27","0:15:27"
"Instagram","12/4/19","22:46:25","0:00:03"
"Screen on (unlocked)","12/4/19","22:46:24","0:00:00"
"Notification posted (Système Android)","12/4/19","22:46:24","0:00:00"
"Screen on (locked)","12/4/19","22:46:22","0:00:03"
"Screen off","12/4/19","22:41:31","0:04:50"
"Instagram","12/4/19","22:41:14","0:00:18"
"Slack","12/4/19","22:41:11","0:00:03"
"Screen on (unlocked)","12/4/19","22:41:10","0:00:00"
"Notification posted (Système Android)","12/4/19","22:41:10","0:00:00"
"Screen on (locked)","12/4/19","22:41:09","0:00:01"
"Screen off","12/4/19","21:54:08","0:47:01"
"Slack","12/4/19","21:54:06","0:00:03"
"SMS/MMS","12/4/19","21:53:59","0:00:07"
"Notification posted (Instagram)","12/4/19","21:53:57","0:00:00"
"YouTube","12/4/19","21:53:56","0:00:02"
"Screen on (unlocked)","12/4/19","21:53:56","0:00:00"
"Notification posted (Système Android)","12/4/19","21:53:56","0:00:00"
"Screen on (locked)","12/4/19","21:53:55","0:00:01"
"Notification posted (SMS/MMS)","12/4/19","21:53:19","0:00:00"
"Notification posted (Slack)","12/4/19","21:48:45","0:00:00"
"Notification posted (Google Actualités)","12/4/19","21:45:24","0:00:00"
"Screen off","12/4/19","21:43:28","0:10:27"
"Notification posted (Système Android)","12/4/19","21:43:23","0:00:00"
"YouTube","12/4/19","21:43:23","0:00:05"
"Notification posted (Messenger)","12/4/19","21:43:23","0:00:00"
"Notification posted (Messenger)","12/4/19","21:43:23","0:00:00"
"Discord","12/4/19","21:43:20","0:00:03"
"Screen on (unlocked)","12/4/19","21:43:19","0:00:01"
"Screen off","12/4/19","21:43:13","0:00:07"
"Discord","12/4/19","21:41:02","0:02:11"
"YouTube","12/4/19","21:41:01","0:00:01"
"Discord","12/4/19","21:38:05","0:02:56"
"YouTube","12/4/19","21:37:57","0:00:08"
"Discord","12/4/19","21:37:49","0:00:08"
"YouTube","12/4/19","21:37:42","0:00:07"
"Discord","12/4/19","21:37:33","0:00:08"
"Boost","12/4/19","21:36:14","0:01:19"
"Boost","12/4/19","21:36:12","0:00:01"
"Notification posted (Messenger)","12/4/19","21:36:01","0:00:00"
"Messenger","12/4/19","21:36:00","0:00:12"
"Notification posted (Discord)","12/4/19","21:31:16","0:00:00"
"Boost","12/4/19","21:28:21","0:07:38"
"YouTube","12/4/19","21:28:18","0:00:03"
"Boost","12/4/19","21:26:49","0:01:29"
"YouTube","12/4/19","21:22:51","0:03:56"
"Discord","12/4/19","21:22:34","0:00:17"
"YouTube","12/4/19","21:21:21","0:01:12"
"Screen on (unlocked)","12/4/19","21:21:19","0:00:01"
"Screen off","12/4/19","21:13:39","0:07:40"
"Notification posted (YouTube)","12/4/19","21:13:35","0:00:00"
"Chrome","12/4/19","21:07:46","0:05:53"
"YouTube","12/4/19","21:07:44","0:00:01"
"Screen on (unlocked)","12/4/19","21:07:43","0:00:01"
"Notification posted (Notes)","12/4/19","21:00:01","0:00:00"
"Screen off","12/4/19","20:53:26","0:14:18"
"YouTube","12/4/19","20:51:19","0:02:07"
"Slack","12/4/19","20:51:15","0:00:04"
"Notification posted (Slack)","12/4/19","20:39:37","0:00:00"
"YouTube","12/4/19","20:38:18","0:12:57"
"Slack","12/4/19","20:38:13","0:00:04"
"Notification posted (Slack)","12/4/19","20:38:09","0:00:00"
"YouTube","12/4/19","20:37:54","0:00:19"
"Gmail","12/4/19","20:37:49","0:00:04"
"Discord","12/4/19","20:37:45","0:00:04"
"Slack","12/4/19","20:37:10","0:00:35"
"Facebook","12/4/19","20:37:09","0:00:01"
"Screen on (unlocked)","12/4/19","20:37:09","0:00:00"
"Notification posted (Système Android)","12/4/19","20:37:09","0:00:00"
"Screen on (locked)","12/4/19","20:37:08","0:00:01"
"Notification posted (Discord)","12/4/19","20:34:32","0:00:00"
"Notification posted (Slack)","12/4/19","20:28:00","0:00:00"
"Screen off","12/4/19","20:27:22","0:09:46"
"Facebook","12/4/19","20:27:06","0:00:16"
"Notification posted (Facebook)","12/4/19","20:27:03","0:00:00"
"Screen on (unlocked)","12/4/19","20:27:02","0:00:00"
"Notification posted (Système Android)","12/4/19","20:27:02","0:00:00"
"Screen on (locked)","12/4/19","20:27:00","0:00:02"
"Screen off","12/4/19","19:52:20","0:34:40"
"Notification posted (Système Android)","12/4/19","19:52:08","0:00:00"
"Screen on (unlocked)","12/4/19","19:52:08","0:00:00"
"Screen on (locked)","12/4/19","19:52:07","0:00:01"
"Notification posted (Messenger)","12/4/19","19:34:18","0:00:00"
"Notification posted (Messenger)","12/4/19","19:24:36","0:00:00"
"Screen off (locked)","12/4/19","19:22:13","0:29:55"
"Screen on (locked)","12/4/19","19:22:02","0:00:10"
"Screen off (locked)","12/4/19","19:12:29","0:09:33"
"Screen on (locked)","12/4/19","19:12:28","0:00:01"
"Screen off","12/4/19","19:10:39","0:01:50"
"Notes","12/4/19","19:10:29","0:00:07"
"Screen on (unlocked)","12/4/19","19:10:27","0:00:01"
"Notification posted (Système Android)","12/4/19","19:10:27","0:00:00"
"Screen on (locked)","12/4/19","19:10:27","0:00:00"
"Screen off","12/4/19","19:00:19","0:10:08"
"Dealabs","12/4/19","18:58:33","0:01:46"
"YouTube","12/4/19","18:58:31","0:00:02"
"Dealabs","12/4/19","18:58:26","0:00:05"
"Notification posted (Messenger)","12/4/19","18:55:20","0:00:00"
"YouTube","12/4/19","18:50:26","0:08:00"
"Slack","12/4/19","18:50:00","0:00:26"
"Notification posted (Slack)","12/4/19","18:47:04","0:00:00"
"Notification posted (Dealabs)","12/4/19","18:46:03","0:00:00"
"YouTube","12/4/19","18:44:02","0:05:58"
"Screen on (unlocked)","12/4/19","18:44:01","0:00:01"
"Notification posted (Système Android)","12/4/19","18:44:01","0:00:00"
"Screen on (locked)","12/4/19","18:43:59","0:00:02"
"Screen off","12/4/19","18:19:25","0:24:35"
"Chrome","12/4/19","18:17:31","0:01:48"
"Screen on (unlocked)","12/4/19","18:17:31","0:00:00"
"Notification posted (Système Android)","12/4/19","18:17:31","0:00:00"
"Screen on (locked)","12/4/19","18:17:30","0:00:01"
"Screen off (locked)","12/4/19","18:14:54","0:02:36"
"Screen on (locked)","12/4/19","18:14:52","0:00:01"
"Screen off","12/4/19","18:13:32","0:01:20"
"Chrome","12/4/19","18:12:33","0:00:59"
"Discord","12/4/19","18:12:29","0:00:04"
"Téléphone","12/4/19","18:12:27","0:00:01"
"Screen on (unlocked)","12/4/19","18:12:26","0:00:01"
"Screen off","12/4/19","18:09:28","0:02:58"
"Screen on (unlocked)","12/4/19","18:09:27","0:00:01"
"Notification posted (Discord)","12/4/19","18:07:51","0:00:00"
"Screen off","12/4/19","17:59:50","0:09:37"
"Téléphone","12/4/19","17:59:35","0:00:15"
"Screen on (unlocked)","12/4/19","17:59:34","0:00:01"
"Screen off","12/4/19","17:59:13","0:00:21"
"Notification posted (Téléphone)","12/4/19","17:59:12","0:00:00"
"Téléphone","12/4/19","17:59:03","0:00:10"
"Notification posted (Système Android)","12/4/19","17:58:58","0:00:00"
"Notification posted (Messenger)","12/4/19","17:58:58","0:00:00"
"Notification posted (Messenger)","12/4/19","17:58:58","0:00:00"
"Vélo'v officiel","12/4/19","17:58:58","0:00:04"
"Screen on (unlocked)","12/4/19","17:58:57","0:00:00"
"Screen on (locked)","12/4/19","17:58:56","0:00:01"
"Screen off","12/4/19","17:47:09","0:11:47"
"Vélo'v officiel","12/4/19","17:46:57","0:00:12"
"Téléphone","12/4/19","17:46:47","0:00:08"
"Screen on (unlocked)","12/4/19","17:46:47","0:00:01"
"Screen off","12/4/19","17:45:32","0:01:15"
"Téléphone","12/4/19","17:45:25","0:00:07"
"Screen on (unlocked)","12/4/19","17:45:24","0:00:01"
"Screen off","12/4/19","17:45:10","0:00:14"
"Téléphone","12/4/19","17:44:58","0:00:12"
"Screen on (unlocked)","12/4/19","17:44:57","0:00:01"
"Screen off","12/4/19","17:44:56","0:00:01"
"Notification posted (Téléphone)","12/4/19","17:44:55","0:00:00"
"Téléphone","12/4/19","17:44:50","0:00:06"
"Screen on (unlocked)","12/4/19","17:44:48","0:00:01"
"Notification posted (FlixBus)","12/4/19","17:40:00","0:00:00"
"Screen off","12/4/19","17:38:23","0:06:25"
"YouTube","12/4/19","17:37:47","0:00:35"
"I Can't Wake Up! Alarm Clock","12/4/19","17:37:36","0:00:11"
"Notes","12/4/19","17:37:23","0:00:12"
"Notes","12/4/19","17:37:21","0:00:01"
"Téléphone","12/4/19","17:37:18","0:00:01"
"Screen on (unlocked)","12/4/19","17:37:17","0:00:01"
"Screen off","12/4/19","17:36:34","0:00:43"
"Notification posted (Téléphone)","12/4/19","17:36:32","0:00:00"
"Téléphone","12/4/19","17:36:03","0:00:32"
"Screen on (unlocked)","12/4/19","17:36:02","0:00:01"
"Screen off","12/4/19","17:35:43","0:00:19"
"Téléphone","12/4/19","17:33:43","0:02:00"
"Screen on (unlocked)","12/4/19","17:33:42","0:00:01"
"Screen off","12/4/19","17:33:19","0:00:24"
"Notification posted (Téléphone)","12/4/19","17:33:17","0:00:00"
"Téléphone","12/4/19","17:33:16","0:00:03"
"Boost","12/4/19","17:32:01","0:01:14"
"YouTube","12/4/19","17:31:46","0:00:15"
"Boost","12/4/19","17:31:04","0:00:43"
"YouTube","12/4/19","17:31:02","0:00:01"
"Boost","12/4/19","17:30:56","0:00:07"
"YouTube","12/4/19","17:30:53","0:00:03"
"Boost","12/4/19","17:30:40","0:00:13"
"YouTube","12/4/19","17:30:37","0:00:02"
"Boost","12/4/19","17:30:27","0:00:11"
"YouTube","12/4/19","17:30:25","0:00:01"
"Boost","12/4/19","17:29:11","0:01:14"
"Chrome","12/4/19","17:28:41","0:00:28"
"YouTube","12/4/19","17:28:36","0:00:05"
"Chrome","12/4/19","17:28:36","0:00:01"
"YouTube","12/4/19","17:28:28","0:00:07"
"Chrome","12/4/19","17:27:51","0:00:37"
"YouTube","12/4/19","17:27:50","0:00:01"
"Chrome","12/4/19","17:27:45","0:00:05"
"YouTube","12/4/19","17:27:43","0:00:02"
"Chrome","12/4/19","17:27:33","0:00:10"
"YouTube","12/4/19","17:27:17","0:00:15"
"Boost","12/4/19","17:25:43","0:01:33"
"Chrome","12/4/19","17:25:18","0:00:24"
"Notification posted (Système Android)","12/4/19","17:24:48","0:00:00"
"Gmail","12/4/19","17:24:47","0:00:31"
"Screen on (unlocked)","12/4/19","17:24:44","0:00:01"
"Screen off","12/4/19","17:24:17","0:00:27"
"SMS/MMS","12/4/19","17:24:13","0:00:05"
"Téléphone","12/4/19","17:24:11","0:00:01"
"Screen on (unlocked)","12/4/19","17:24:11","0:00:01"
"Screen off","12/4/19","17:23:51","0:00:20"
"Screen on (unlocked)","12/4/19","17:23:50","0:00:00"
"Screen off","12/4/19","17:23:47","0:00:03"
"Notification posted (Téléphone)","12/4/19","17:23:46","0:00:00"
"Téléphone","12/4/19","17:23:45","0:00:02"
"SMS/MMS","12/4/19","17:23:40","0:00:05"
"Discord","12/4/19","17:23:36","0:00:03"
"Vélo'v officiel","12/4/19","17:23:33","0:00:03"
"Screen on (unlocked)","12/4/19","17:23:33","0:00:00"
"Screen on (locked)","12/4/19","17:23:28","0:00:05"
"Notification posted (Discord)","12/4/19","17:17:18","0:00:00"
"Screen off (locked)","12/4/19","17:15:02","0:08:26"
"Screen on (locked)","12/4/19","17:14:52","0:00:10"
"Screen off","12/4/19","17:14:18","0:00:34"
"Vélo'v officiel","12/4/19","17:14:16","0:00:03"
"Screen on (unlocked)","12/4/19","17:14:15","0:00:01"
"Screen off","12/4/19","17:14:14","0:00:01"
"Vélo'v officiel","12/4/19","17:14:05","0:00:09"
"Notification posted (Système Android)","12/4/19","17:13:59","0:00:00"
"Maps","12/4/19","17:13:59","0:00:06"
"Vélo'v officiel","12/4/19","17:13:47","0:00:12"
"Notification posted (Système Android)","12/4/19","17:13:40","0:00:00"
"Maps","12/4/19","17:13:39","0:00:07"
"Vélo'v officiel","12/4/19","17:13:30","0:00:09"
"Chrome","12/4/19","17:13:27","0:00:01"
"Notification posted (Chrome)","12/4/19","17:13:27","0:00:00"
"Screen on (unlocked)","12/4/19","17:13:27","0:00:01"
"Screen off","12/4/19","17:13:16","0:00:10"
"Chrome","12/4/19","17:12:55","0:00:21"
"Notification posted (Chrome)","12/4/19","17:12:55","0:00:00"
"Slack","12/4/19","17:12:52","0:00:01"
"Screen on (unlocked)","12/4/19","17:12:52","0:00:01"
"Screen off","12/4/19","17:12:42","0:00:10"
"Slack","12/4/19","17:12:41","0:00:01"
"Screen on (unlocked)","12/4/19","17:12:40","0:00:01"
"Screen off","12/4/19","17:12:38","0:00:03"
"Slack","12/4/19","17:12:33","0:00:04"
"Screen on (unlocked)","12/4/19","17:12:33","0:00:00"
"Screen on (locked)","12/4/19","17:12:30","0:00:03"
"Notification posted (Slack)","12/4/19","17:12:18","0:00:00"
"Screen off (locked)","12/4/19","17:11:45","0:00:45"
"Screen on (locked)","12/4/19","17:11:44","0:00:01"
"Screen off","12/4/19","17:11:03","0:00:40"
"Slack","12/4/19","17:11:03","0:00:00"
"Screen on (unlocked)","12/4/19","17:11:02","0:00:01"
"Screen off","12/4/19","17:10:54","0:00:08"
"Slack","12/4/19","17:10:54","0:00:01"
"Screen on (unlocked)","12/4/19","17:10:54","0:00:00"
"Screen on (locked)","12/4/19","17:10:50","0:00:03"
"Screen off","12/4/19","17:07:03","0:03:47"
"Slack","12/4/19","17:06:56","0:00:08"
"Notification posted (Système Android)","12/4/19","17:06:53","0:00:00"
"Screen on (unlocked)","12/4/19","17:06:52","0:00:01"
"Screen off","12/4/19","17:06:46","0:00:07"
"Caméra","12/4/19","17:06:36","0:00:09"
"Notification posted (Système Android)","12/4/19","17:06:35","0:00:00"
"Screen on (unlocked)","12/4/19","17:06:35","0:00:01"
"Screen off","12/4/19","17:06:18","0:00:17"
"Notification posted (Système Android)","12/4/19","17:04:02","0:00:00"
"Maps","12/4/19","17:04:01","0:02:17"
"Slack","12/4/19","17:03:49","0:00:12"
"Notification posted (Slack)","12/4/19","17:02:06","0:00:00"
"Chrome","12/4/19","17:00:16","0:03:33"
"Notification posted (Messenger)","12/4/19","16:58:44","0:00:00"
"Chrome","12/4/19","16:58:13","0:00:01"
"Notification posted (Messenger)","12/4/19","16:58:12","0:00:00"
"Notification posted (Messenger)","12/4/19","16:57:53","0:00:00"
"Chrome","12/4/19","16:56:58","0:01:14"
"Notification posted (Messenger)","12/4/19","16:56:29","0:00:00"
"Compteur","12/4/19","16:56:28","0:00:13"
"Notification posted (Messenger)","12/4/19","16:56:01","0:00:00"
"Chrome","12/4/19","16:55:13","0:01:13"
"Screen on (unlocked)","12/4/19","16:55:12","0:00:01"
"Screen off","12/4/19","16:54:54","0:00:18"
"Screen on (unlocked)","12/4/19","16:54:49","0:00:01"
"Screen off","12/4/19","16:54:40","0:00:10"
"Messenger","12/4/19","16:53:24","0:00:02"
"Screen on (unlocked)","12/4/19","16:53:21","0:00:00"
"Notification posted (Système Android)","12/4/19","16:53:21","0:00:00"
"Screen on (locked)","12/4/19","16:53:19","0:00:02"
"Screen off","12/4/19","16:52:37","0:00:42"
"Gmail","12/4/19","16:52:24","0:00:02"
"Notification posted (Capture d'écran)","12/4/19","16:52:00","0:00:00"
"Chrome","12/4/19","16:51:28","0:00:55"
"Gmail","12/4/19","16:51:27","0:00:01"
"Screen on (unlocked)","12/4/19","16:51:26","0:00:01"
"Screen off","12/4/19","16:51:04","0:00:21"
"Gmail","12/4/19","16:51:01","0:00:03"
"Screen on (unlocked)","12/4/19","16:51:00","0:00:01"
"Notification posted (Système Android)","12/4/19","16:51:00","0:00:00"
"Screen on (locked)","12/4/19","16:50:59","0:00:01"
"Screen off","12/4/19","16:47:34","0:03:25"
"Gmail","12/4/19","16:47:33","0:00:01"
"Screen on (unlocked)","12/4/19","16:47:33","0:00:01"
"Notification posted (Système Android)","12/4/19","16:47:33","0:00:00"
"Screen off","12/4/19","16:47:33","0:00:00"
"Screen off (locked)","12/4/19","16:47:21","0:00:12"
"Screen on (locked)","12/4/19","16:47:09","0:00:12"
"Screen off","12/4/19","16:45:22","0:01:47"
"Notification posted (Capture d'écran)","12/4/19","16:44:59","0:00:00"
"Gmail","12/4/19","16:44:54","0:00:27"
"Screen on (unlocked)","12/4/19","16:44:53","0:00:01"
"Screen off","12/4/19","16:44:47","0:00:06"
"Gmail","12/4/19","16:44:45","0:00:03"
"Chrome","12/4/19","16:44:41","0:00:03"
"Screen on (unlocked)","12/4/19","16:44:41","0:00:01"
"Screen on (locked)","12/4/19","16:44:40","0:00:00"
"Notification posted (Système Android)","12/4/19","16:44:40","0:00:00"
"Notification posted (Messenger)","12/4/19","16:40:37","0:00:00"
"Notification posted (Messenger)","12/4/19","16:40:37","0:00:00"
"Screen off","12/4/19","16:39:52","0:04:48"
"Chrome","12/4/19","16:38:30","0:01:23"
"Screen on (unlocked)","12/4/19","16:38:28","0:00:01"
"Messenger","12/4/19","16:38:28","0:00:00"
"Screen on (locked)","12/4/19","16:38:27","0:00:01"
"Screen off","12/4/19","16:36:12","0:02:15"
"Notification posted (Messenger)","12/4/19","16:36:10","0:00:00"
"Messenger","12/4/19","16:36:10","0:00:02"
"Screen on (unlocked)","12/4/19","16:36:08","0:00:01"
"Screen off","12/4/19","16:35:56","0:00:12"
"Chrome","12/4/19","16:35:53","0:00:02"
"Screen on (unlocked)","12/4/19","16:35:53","0:00:00"
"Screen on (locked)","12/4/19","16:35:49","0:00:04"
"Screen off","12/4/19","16:30:23","0:05:26"
"Chrome","12/4/19","16:29:28","0:00:55"
"Screen on (unlocked)","12/4/19","16:29:26","0:00:01"
"Screen off","12/4/19","16:16:55","0:12:31"
"YouTube","12/4/19","16:14:14","0:02:39"
"Boost","12/4/19","16:13:04","0:01:10"
"Notification posted (Messenger)","12/4/19","16:12:36","0:00:00"
"Messenger","12/4/19","16:12:36","0:00:25"
"lichess","12/4/19","16:11:51","0:00:44"
"Screen on (unlocked)","12/4/19","16:11:51","0:00:01"
"Screen off","12/4/19","16:11:37","0:00:14"
"lichess","12/4/19","16:11:27","0:00:10"
"Notification posted (Système Android)","12/4/19","16:11:27","0:00:00"
"Boost","12/4/19","16:11:25","0:00:01"
"Discord","12/4/19","16:11:16","0:00:06"
"9GAG","12/4/19","16:10:48","0:00:26"
"Discord","12/4/19","16:10:35","0:00:13"
"Notification posted (Système Android)","12/4/19","16:10:34","0:00:00"
"Screen on (unlocked)","12/4/19","16:10:34","0:00:01"
"Screen on (locked)","12/4/19","16:10:33","0:00:01"
"Notification posted (Messenger)","12/4/19","16:05:57","0:00:00"
"Screen off","12/4/19","16:04:24","0:06:09"
"Discord","12/4/19","16:04:20","0:00:04"
"Chrome","12/4/19","16:04:16","0:00:04"
"Screen on (unlocked)","12/4/19","16:04:15","0:00:01"
"Screen off","12/4/19","16:04:14","0:00:01"
"Chrome","12/4/19","16:02:40","0:01:34"
"Screen on (unlocked)","12/4/19","16:02:39","0:00:00"
"Notification posted (Système Android)","12/4/19","16:02:39","0:00:00"
"Screen on (locked)","12/4/19","16:02:38","0:00:02"
"Notification posted (Discord)","12/4/19","16:01:34","0:00:00"
"Screen off","12/4/19","15:55:18","0:07:19"
"YouTube","12/4/19","15:54:24","0:00:55"
"Screen on (unlocked)","12/4/19","15:54:22","0:00:01"
"Notification posted (Système Android)","12/4/19","15:54:22","0:00:00"
"SMS/MMS","12/4/19","15:54:22","0:00:00"
"Screen on (locked)","12/4/19","15:54:19","0:00:03"
"Notification posted (Messenger)","12/4/19","15:53:45","0:00:00"
"Screen off","12/4/19","15:53:34","0:00:45"
"SMS/MMS","12/4/19","15:52:56","0:00:37"
"Notification posted (Système Android)","12/4/19","15:52:56","0:00:00"
"Screen on (unlocked)","12/4/19","15:52:56","0:00:00"
"Screen on (locked)","12/4/19","15:52:54","0:00:03"
"Notification posted (SMS/MMS)","12/4/19","15:49:51","0:00:00"
"Notification posted (Messenger)","12/4/19","15:44:39","0:00:00"
"Screen off","12/4/19","15:43:17","0:09:37"
"SMS/MMS","12/4/19","15:43:01","0:00:15"
"Boost","12/4/19","15:42:28","0:00:34"
"Screen on (unlocked)","12/4/19","15:42:27","0:00:01"
"Screen off","12/4/19","15:42:15","0:00:13"
"Notification posted (SMS/MMS)","12/4/19","15:40:26","0:00:00"
"Notification posted (Messenger)","12/4/19","15:40:24","0:00:00"
"Boost","12/4/19","15:40:13","0:02:01"
"SMS/MMS","12/4/19","15:40:12","0:00:01"
"Notification posted (SMS/MMS)","12/4/19","15:39:57","0:00:00"
"Boost","12/4/19","15:39:01","0:01:11"
"Gmail","12/4/19","15:38:56","0:00:04"
"Screen on (unlocked)","12/4/19","15:38:55","0:00:01"
"Screen off","12/4/19","15:38:43","0:00:12"
"Gmail","12/4/19","15:38:19","0:00:24"
"Screen on (unlocked)","12/4/19","15:38:19","0:00:00"
"Notification posted (Système Android)","12/4/19","15:38:19","0:00:00"
"Screen on (locked)","12/4/19","15:38:18","0:00:01"
"Notification posted (Messenger)","12/4/19","15:37:41","0:00:00"
"Screen off","12/4/19","15:37:39","0:00:39"
"Gmail","12/4/19","15:36:08","0:01:31"
"Screen on (unlocked)","12/4/19","15:36:07","0:00:01"
"Notification posted (Messenger)","12/4/19","15:35:55","0:00:00"
"Screen off","12/4/19","15:35:42","0:00:25"
"Notification posted (Capture d'écran)","12/4/19","15:35:16","0:00:00"
"Notification posted (Messenger)","12/4/19","15:35:13","0:00:00"
"Gmail","12/4/19","15:35:02","0:00:40"
"SMS/MMS","12/4/19","15:34:29","0:00:32"
"Notification posted (Messenger)","12/4/19","15:34:19","0:00:00"
"Chrome","12/4/19","15:34:16","0:00:12"
"SMS/MMS","12/4/19","15:34:13","0:00:02"
"Gmail","12/4/19","15:34:08","0:00:05"
"Screen on (unlocked)","12/4/19","15:34:08","0:00:00"
"Notification posted (Système Android)","12/4/19","15:34:08","0:00:00"
"Screen on (locked)","12/4/19","15:34:06","0:00:02"
"Notification posted (SMS/MMS)","12/4/19","15:32:51","0:00:00"
"Screen off","12/4/19","15:31:05","0:03:01"
"Notification posted (Messenger)","12/4/19","15:30:50","0:00:00"
"Notification posted (Messenger)","12/4/19","15:30:34","0:00:00"
"Notification posted (Système Android)","12/4/19","15:30:34","0:00:00"
"Notification posted (Messenger)","12/4/19","15:30:34","0:00:00"
"Gmail","12/4/19","15:30:24","0:00:41"
"Notification posted (Messenger)","12/4/19","15:30:10","0:00:00"
"Messenger","12/4/19","15:30:10","0:00:13"
"Chrome","12/4/19","15:30:09","0:00:01"
"Screen on (unlocked)","12/4/19","15:30:08","0:00:00"
"Screen on (locked)","12/4/19","15:30:08","0:00:00"
"Screen off","12/4/19","15:25:15","0:04:52"
"Chrome","12/4/19","15:24:59","0:00:16"
"Screen on (unlocked)","12/4/19","15:24:59","0:00:01"
"Screen off","12/4/19","15:20:41","0:04:18"
"Chrome","12/4/19","15:20:29","0:00:12"
"Screen on (unlocked)","12/4/19","15:20:29","0:00:01"
"Screen off","12/4/19","15:20:20","0:00:09"
"Chrome","12/4/19","15:19:47","0:00:32"
"Boost","12/4/19","15:19:43","0:00:01"
"Screen on (unlocked)","12/4/19","15:19:42","0:00:01"
"Screen off","12/4/19","15:19:42","0:00:00"
"Screen off (locked)","12/4/19","15:18:16","0:01:27"
"Screen on (locked)","12/4/19","15:18:14","0:00:01"
"Screen off","12/4/19","15:16:48","0:01:26"
"Boost","12/4/19","15:15:35","0:01:13"
"Chrome","12/4/19","15:15:15","0:00:20"
"Screen on (unlocked)","12/4/19","15:15:15","0:00:00"
"Notification posted (Système Android)","12/4/19","15:15:15","0:00:00"
