"App name","Date","Time","Duration"
"Notification posted (Gmail)","12/5/19","00:43:05","0:00:00"
"Notification posted (Services Google Play)","12/5/19","00:43:03","0:00:00"
"App Usage","12/5/19","00:42:15","0:03:01"
"Discord","12/5/19","00:41:58","0:00:07"
"YouTube","12/5/19","00:41:53","0:00:05"
"Slack","12/5/19","00:38:43","0:03:10"
"Notification posted (Slack)","12/5/19","00:20:58","0:00:00"
"YouTube","12/5/19","00:20:28","0:18:15"
"Chrome","12/5/19","00:20:09","0:00:19"
"Slack","12/5/19","00:19:39","0:00:30"
"Chrome","12/5/19","00:19:18","0:00:18"
"Boost","12/5/19","00:19:16","0:00:01"
"Notification posted (Discord)","12/5/19","00:19:16","0:00:00"
"Notification posted (Chrome)","12/5/19","00:19:11","0:00:00"
"Chrome","12/5/19","00:19:11","0:00:04"
"Notification posted (Messenger)","12/5/19","00:19:01","0:00:00"
"Notification posted (Messenger)","12/5/19","00:18:11","0:00:00"
"Notification posted (Messenger)","12/5/19","00:18:09","0:00:00"
"Notification posted (WEBTOON)","12/5/19","00:15:22","0:00:00"
"YouTube","12/5/19","00:15:14","0:03:55"
"WEBTOON","12/5/19","00:08:57","0:06:14"
"YouTube","12/5/19","00:08:51","0:00:05"
"WEBTOON","12/5/19","00:08:48","0:00:02"
"YouTube","12/5/19","00:05:48","0:02:55"
"Screen on (unlocked)","12/5/19","00:05:44","0:00:00"
"Notification posted (Système Android)","12/5/19","00:05:44","0:00:00"
"Screen on (locked)","12/5/19","00:05:43","0:00:01"
"Screen off","12/5/19","00:01:45","0:03:58"
"Notification posted (BlackPlayer)","12/5/19","00:01:42","0:00:00"
"Screen on (unlocked)","12/5/19","00:01:33","0:00:00"
"Notification posted (Système Android)","12/5/19","00:01:33","0:00:00"
"Notification posted (Système Android)","12/5/19","00:01:33","0:00:00"
"Screen on (locked)","12/5/19","00:01:32","0:00:01"
"Screen off","12/4/19","23:45:46","0:15:45"
"YouTube","12/4/19","23:45:44","0:00:02"
"Notification posted (Système Android)","12/4/19","23:45:44","0:00:00"
"Notification posted (Système Android)","12/4/19","23:45:44","0:00:00"
"Screen on (unlocked)","12/4/19","23:45:43","0:00:01"
"Screen on (locked)","12/4/19","23:45:43","0:00:01"
"Screen off","12/4/19","23:41:53","0:03:50"
"YouTube","12/4/19","23:35:14","0:06:39"
